Country,Age,Weight,Height,Gym,Gender,BMI,PAL
Togo,24,55.95751910814,169.6421868504708,1,Female,19.444228993406316,1.55
Tunisia,52,83.29091649442432,171.69814882963732,0,Female,28.25312007633008,1.9
Nigeria,56,58.04524515953105,199.1881473276986,1,Female,14.629842996221607,1.55
Ghana,43,94.48856120890099,195.15307844533,0,Female,24.810094762058668,1.2
Egypt,32,72.1067148454062,194.08366154735296,0,Male,19.14246033543973,1.9
Nigeria,36,80.87145341613979,199.02722161237614,0,Female,20.41598263070566,1.375
Cameroun,24,50.79974111603521,168.71395438200167,0,Female,17.84676436734478,1.375
Nigeria,32,51.840467157383266,179.7831890261688,1,Female,16.038758457481965,1.55
Mali,20,82.67226991347621,167.77864732012716,1,Female,29.368819139825213,1.9
Mali,32,91.03523033109737,179.0756477239316,1,Female,28.388107031711154,1.55
Togo,35,90.50298631221654,163.98234176010416,1,Male,33.65648377849546,1.55
Egypt,32,51.653918572894504,155.21227765015004,1,Male,21.441300802109737,1.375
Nigeria,49,86.55187317380373,175.27639591819064,0,Male,28.172773408534965,1.725
Ghana,59,89.54524113621342,156.68150434756808,0,Male,36.47598638421939,1.55
Ghana,41,83.56891687733534,168.01324717461875,0,Male,29.604499449084663,1.9
Ghana,43,85.13582677854455,150.09279263270787,0,Male,37.79137395817264,1.9
Mali,18,96.52139880864621,184.86217761626753,0,Female,28.244082931165135,1.55
Mali,62,84.8037282737946,175.0011105247191,1,Male,27.690661870897056,1.55
Cameroun,51,75.23518428415458,194.11692278624542,1,Male,19.966143718509564,1.375
Egypt,44,68.4647703074265,162.42733829793434,0,Male,25.950689438020405,1.9
Togo,27,81.04351976668727,187.0038034087523,1,Female,23.174875794364038,1.725
Togo,38,89.15234963184122,157.18960270148216,1,Male,36.08154794520968,1.2
Cameroun,51,77.85950718375281,163.9228964140628,1,Male,28.975598296013956,1.375
Mali,18,66.02899812194518,166.23041663614637,0,Male,23.895367868939555,1.375
Egypt,52,56.13662443629295,181.25785905739272,1,Male,17.086479995976614,1.725
Tunisia,34,60.97324024074123,179.33245916215125,0,Female,18.959263696095107,1.55
Togo,22,81.96735358204728,174.19625387593229,1,Female,27.012407405966623,1.725
Egypt,64,60.4953881486026,182.6897693463456,1,Male,18.125659305331858,1.2
Cameroun,24,61.27256341138149,172.27652582591804,1,Female,20.644950208555148,1.9
Tunisia,42,52.68666409102775,187.64080875181085,0,Male,14.963945210335524,1.2
Cameroun,22,97.94845631598167,151.3758330733783,1,Male,42.74491948472915,1.725
Cameroun,22,55.1811332013574,198.87107865706434,0,Male,13.952349811220309,1.725
Egypt,48,51.98272138638673,177.8147034131424,1,Female,16.440827489359197,1.9
Cameroun,38,66.46007883724101,176.78747204919873,1,Male,21.264632457788352,1.2
Cameroun,35,93.1178758682475,176.19462475466335,1,Male,29.994922937778586,1.2
Cameroun,36,81.94837740138169,196.83668503786316,0,Male,21.150871856890188,1.9
Tunisia,50,84.03361169386878,188.50549420580953,1,Female,23.64857650612111,1.725
Ghana,63,92.3322830183633,161.48604149270327,1,Male,35.40654878988645,1.55
Egypt,53,97.71564657071943,172.9275886951813,0,Male,32.67650043740007,1.55
Ghana,28,60.31123038880307,193.0335487735536,0,Female,16.185741446096987,1.725
Ghana,49,69.82977048217109,190.10789798958803,1,Female,19.321475775417586,1.9
Mali,36,93.4144101956556,154.65597926422421,0,Female,39.05534203840417,1.375
